d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,,,
0.0392993977313836,0.0459441785678791,0.0119249525923806,0.000280589720432545,0.00110152941692832,0.0010834048189281,0.000182822699571261,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,0.000851135275692428,0.00100554255124169,0.00123291795204129,0.00159123328560626,0.00201351804303242,0.0023997176815986,0.00275964673351566,,
0.0307038909968469,0.00113517511726968,0.0048309085841538,0.00218989574045736,0.00168048266004917,0.00787264929749654,0.0123149803878277,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,$A$266,$B$329,$C$316,$D$263,$E$263,$F$455,$G$455,formula,"`CELL(""address"",INDEX(A2:A487,MATCH(MIN(A2:A487),A2:A487,0)))"
1.363696583212E-06,0.0186341704138613,0.0151521529935508,0.0124535847792231,0.0236997876074838,0.0314515160064275,0.0474072032122876,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,,,,,,,,,
0.0185701752925525,0.0150416548458452,0.012339439709649,0.0235536384288935,0.0312964461975298,0.0472134607864518,0.0375031878868413,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,,,,,,,,,
0.00905651607558866,0.00339705760802644,0.00867019822999282,0.0146168472647332,0.027426933848119,0.0199153805888272,0.00983548677345425,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,,,,,,,,,
0.00153434703156563,0.00316514620521957,0.00618912286540763,0.0159832273820939,0.0110160937183537,0.00389148203248624,0.00633568182115596,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,,,,,,,,,
0.00234703220507981,0.00404272417745233,0.0119110015666593,0.00790729591813033,0.00226224620041648,0.00416281519937911,0.00612887388342642,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,,,,,,,,,
0.00291171649428179,0.00820006990488764,0.00457314681625576,0.000771731511349572,0.00213658085363022,0.00356289593605652,0.000211500492014238,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,,,,,,,,,
0.00637910034220113,0.00220599145018241,1.65827259479556E-05,0.000584092926146695,0.00154478709100658,3.81370230115863E-05,0.0035178409746095,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,,,,,,,,,
0.000974239302195201,0.000699358588462928,0.000118987230962375,4.42855562141631E-05,0.00132203410976217,0.00809839676207957,0.000273131782023484,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,,,,,,,,,
0.00106110805882054,0.000519903806889488,4.93406244004291E-05,0.0024103809485041,0.010357602746808,0.000812173028862162,0.00121150833933825,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,,,,,,,,,
0.00026975365835824,2.86441209027544E-05,0.00121599371141201,0.0078376565952567,0.000264066839235966,0.00049974958619714,0.000157367790961871,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,,,,,,,,,
7.33828585453011E-05,0.000820101206272739,0.0066211344610565,9.18703792649467E-05,0.000262025152778733,0.000353916040921831,0.000870447395072915,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31,,,,,,,,,
0.0009190234268317,0.00716118983314118,0.000177535923512551,0.00038694679665241,0.000243039184169902,0.000687980457087178,0.000726193365153449,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,,,,,,,,,
0.00619152394597222,3.26084978041763E-06,4.13713498801371E-05,0.000779380390895312,0.00141587946563959,0.00148488182821893,0.00122055400629506,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-04,,,,,,,,,
0.000185216022373425,0.000550054261339028,0.00387068773216015,0.00483329513463104,0.00462845392235067,0.00421602383084974,0.00742168736542226,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,,,,,,,,,
0.000431831813330064,0.00325353167704634,0.00404284545220435,0.0039070845095921,0.0035782251652563,0.00655356223637682,0.00398099073208869,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,,,,,,,,,
0.00280399547136767,0.00309864711221053,0.00285258285293821,0.00263634479802022,0.00534641207286768,0.00304005354792025,0.000739385228598573,2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,2022-04-07,,,,,,,,,
