d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,
8.26986653379335E-07,1.68479218332074E-06,3.82637509233064E-07,1.3434131782565E-06,1.7008062513938E-08,2.63431306990526E-07,3.75093751259236E-06,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,,,,,,,
1.52149343879415E-06,5.94373582352148E-07,1.90217022932886E-06,1.47046542942107E-07,5.96213106440843E-07,4.79104886452777E-06,1.02761018383468E-06,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,2022-04-13,,,,,,,
7.37227976665977E-07,2.51579029808564E-06,4.65627280954526E-07,1.24477453433704E-06,6.45307509117316E-06,1.83858972846451E-06,3.70461747700745E-06,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,2022-04-13,2022-04-14,,,,,,,
2.32576054770578E-06,2.89643351303386E-07,8.23602388289147E-07,5.29470413312997E-06,1.23475319768751E-06,2.84402596495444E-06,3.31836191946887E-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,,,,,,,
1.84659008972735E-07,4.24482833105772E-07,3.73007227327825E-06,4.70929697238276E-07,1.56670942907958E-06,1.95510435063725E-06,1.50642225116307E-06,2022-04-08,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-18,,,,,,,
3.85611304887303E-07,3.45669113333023E-06,3.38821852574611E-07,1.28131489773876E-06,1.62757101684903E-06,1.22787463952013E-06,8.11959797397777E-07,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-18,2022-04-19,,,,,,,
3.29440955315639E-06,2.28341040298119E-07,9.63185763147687E-07,1.21601484637252E-06,8.66945454314309E-07,5.31107302359582E-07,4.03777511426307E-06,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-18,2022-04-19,2022-04-20,,,,,,,
1.21645101991419E-07,4.58012270110406E-07,4.39249421058145E-07,1.80963755980249E-07,4.47226398137225E-08,2.26705097716734E-06,2.27927273854806E-06,2022-04-13,2022-04-14,2022-04-15,2022-04-18,2022-04-19,2022-04-20,2022-04-21,,,,,,,
4.25084970778828E-07,3.65108498989775E-07,1.16188308974012E-07,1.30626398586869E-08,1.97758767783733E-06,1.99636582820533E-06,2.64901447999399E-06,2022-04-14,2022-04-15,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,,,,,,,
3.11251824314271E-07,5.35598145834628E-08,1.91143900706917E-09,1.49966286588934E-06,1.50580048430285E-06,2.09283769336821E-06,4.79489836724436E-06,2022-04-15,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-25,,,,,,,
3.67673500534451E-08,1.88756565932938E-08,1.18671455684461E-06,1.1484268844787E-06,1.65809130781014E-06,4.14076783550344E-06,3.57155067209923E-06,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-25,2022-04-26,,,,,,,
2.28125287548951E-08,1.11759335674767E-06,1.05091260493862E-06,1.52329525193728E-06,3.92131169335585E-06,3.37320138843487E-06,3.5258705332275E-05,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-25,2022-04-26,2022-04-27,,,,,,,
1.14042454502095E-06,1.10361719762875E-06,1.61508624163531E-06,4.08986269051526E-06,3.53324230673045E-06,3.57582602197315E-05,2.85341698011979E-05,2022-04-20,2022-04-21,2022-04-22,2022-04-25,2022-04-26,2022-04-27,2022-04-28,,,,,,,
