d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,
0.0759075080279672,0.0914714964492305,0.0375734014326099,0.00301811381723382,0.00964648748436048,0.0183511931109026,0.0087136759632358,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,0.0023614962075256,0.00335144919659077,0.00469135026714607,0.00652496230623913,0.00860681568738314,0.0105621698866812,0.0124913081188643
0.0440301489127251,0.00114935701367358,0.0118720029170163,0.00190596009269939,2.46826768943808E-05,0.00171186442480575,0.00455330476688687,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,$A$30,$B$205,$C$105,$D$225,$E$275,$F$293,$G$107
0.0013600652621335,0.0533244120051677,0.028345489281719,0.010565073007683,0.0197079905958617,0.0287934463276542,0.0477625248151977,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,,,,,,,
0.047713141553686,0.0215704167285367,0.0065286491235382,0.0147327212746404,0.0231726011406863,0.0402084771130827,0.0410697566630915,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,,,,,,,
0.00529875243250899,0.0021928422086149,9.11860925043584E-05,0.00150224106823771,0.00924187335863263,0.00900304852825684,0.00111104541451823,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,,,,,,,
0.00510724842774847,0.00271278951026943,2.45171249844134E-05,0.0033855614165076,0.00359095798580711,7.58042824600125E-06,5.64348829356764E-06,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,,,,,,,
0.00078132516136975,0.00134872887520032,0.0102005808148531,0.00942577481168883,0.00099079992287443,0.00142026082266959,0.00216116064825655,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,,,,,,,
0.00213067796926225,0.0137539288298283,0.0129508852296567,0.00211385131478892,0.00260383380214071,0.00362998159835115,2.48811920755543E-06,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,,,,,,,
0.0103429522280292,0.00755571210538619,0.000337392393930713,0.00073361370687048,0.00146087230314151,0.000447407928959365,0.00529347779797718,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,,,,,,,
0.00277232112262027,0.00166725571057214,0.0011394848261262,0.000212667120877086,0.00486809942321997,0.0151119144029508,0.00526492944140955,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,,,,,,,
