Date,Open,High,Low,Close,Adj Close,Volume
2023-01-23,4.7017998695373535,4.720590114593506,4.700699806213379,4.700500011444092,4.700500011444092,0
2023-01-24,4.708990097045898,4.7195000648498535,4.700200080871582,4.708990097045898,4.708990097045898,0
2023-01-25,4.711569786071777,4.720019817352295,4.702000141143799,4.711569786071777,4.711569786071777,0
2023-01-26,4.712870121002197,4.729700088500977,4.706500053405762,4.712870121002197,4.712870121002197,0
2023-01-27,4.710790157318115,4.711679935455322,4.698999881744385,4.710790157318115,4.710790157318115,0
2023-01-30,4.708690166473389,4.715050220489502,4.700620174407959,4.708690166473389,4.708690166473389,0
2023-01-31,4.7086100578308105,4.715280055999756,4.702600002288818,4.7086100578308105,4.7086100578308105,0
2023-02-01,4.707509994506836,4.7110700607299805,4.700799942016602,4.707509994506836,4.707509994506836,0
2023-02-02,4.6981000900268555,4.709370136260986,4.676199913024902,4.6981000900268555,4.6981000900268555,0
2023-02-03,4.679699897766113,4.711009979248047,4.678100109100342,4.679699897766113,4.679699897766113,0
2023-02-06,4.709489822387695,4.747290134429932,4.70959997177124,4.709489822387695,4.709489822387695,0
2023-02-07,4.741179943084717,4.774869918823242,4.737299919128418,4.741179943084717,4.741179943084717,0
2023-02-08,4.7474799156188965,4.750820159912109,4.718299865722656,4.7474799156188965,4.7474799156188965,0
2023-02-09,4.73799991607666,4.751719951629639,4.72629976272583,4.73799991607666,4.73799991607666,0
2023-02-10,4.750999927520752,4.784870147705078,4.744500160217285,4.750999927520752,4.750999927520752,0
2023-02-13,4.763390064239502,4.7964701652526855,4.756380081176758,4.763390064239502,4.763390064239502,0
2023-02-14,4.784759998321533,4.797749996185303,4.756350040435791,4.784759998321533,4.784759998321533,0
2023-02-15,4.773099899291992,4.77754020690918,4.751399993896484,4.773099899291992,4.773099899291992,0
2023-02-16,4.763000011444092,4.783470153808594,4.757699966430664,4.763000011444092,4.763000011444092,0
2023-02-17,4.768730163574219,4.781410217285156,4.759669780731201,4.768730163574219,4.768730163574219,0
2023-02-20,4.759099960327148,4.759769916534424,4.733799934387207,4.759099960327148,4.759099960327148,0
2023-02-21,4.739220142364502,4.752960205078125,4.736400127410889,4.739220142364502,4.739220142364502,0
2023-02-22,4.746960163116455,4.763350009918213,4.734799861907959,4.746960163116455,4.746960163116455,0
2023-02-23,4.743299961090088,4.759379863739014,4.721499919891357,4.743299961090088,4.743299961090088,0
2023-02-24,4.72189998626709,4.726490020751953,4.713600158691406,4.72189998626709,4.72189998626709,0
2023-02-27,4.718120098114014,4.721950054168701,4.706399917602539,4.718120098114014,4.718120098114014,0
2023-02-28,4.71120023727417,4.721549987792969,4.701399803161621,4.71120023727417,4.71120023727417,0
2023-03-01,4.704579830169678,4.705389976501465,4.658599853515625,4.704579830169678,4.704579830169678,0
2023-03-02,4.669149875640869,4.694540023803711,4.6641998291015625,4.669149875640869,4.669149875640869,0
2023-03-03,4.6969499588012695,4.711030006408691,4.691299915313721,4.6969499588012695,4.6969499588012695,0
2023-03-06,4.706520080566406,4.709959983825684,4.686100006103516,4.706520080566406,4.706520080566406,0
2023-03-07,4.689030170440674,4.691349983215332,4.678199768066406,4.689030170440674,4.689030170440674,0
2023-03-08,4.688950061798096,4.704040050506592,4.669899940490723,4.688950061798096,4.688950061798096,0
2023-03-09,4.6778998374938965,4.686709880828857,4.671000003814697,4.6778998374938965,4.6778998374938965,0
2023-03-10,4.682799816131592,4.690360069274902,4.667500019073486,4.682799816131592,4.682799816131592,0
2023-03-13,4.678730010986328,4.703239917755127,4.664599895477295,4.678730010986328,4.678730010986328,0
